LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6725', '10']"
4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6726', '8']"
5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6728', '6']"
6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6736', '10']"
13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6733', '7']"
14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6734', '9']"
15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>,"['/', 'e', 't', 'c', '/', 'h', 't', 't', 'p', 'd', '/', 'c', 'o', 'n', 'f', '/', 'w', 'o', 'r', 'k', 'e', 'r', 's', '2', '.', 'p', 'r', 'o', 'p', 'e', 'r', 't', 'i', 'e', 's']"
17,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>,['6']
18,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>,"['6738', '6']"
