LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,ParameterList
1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E29,Created MRAppMaster for application <*>,"['a', 'p', 'p', 'a', 't', 't', 'e', 'm', 'p', 't', '_', '1', '4', '4', '5', '1', '4', '4', '4', '2', '3', '7', '2', '2', '_', '0', '0', '2', '0', '_', '0', '0', '0', '0', '0', '1']"
2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,E42,Executing with tokens:,"['E', 'x', 'e', 'c', 'u', 't', 'i', 'n', 'g', ' ', 'w', 'i', 't', 'h', ' ', 't', 'o', 'k', 'e', 'n', 's', ':']"
3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","['20', '1445144423722', '1', '-127633188']"
4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,E111,Using mapred newApiCommitter.,"['U', 's', 'i', 'n', 'g', ' ', 'm', 'a', 'p', 'r', 'e', 'd', ' ', 'n', 'e', 'w', 'A', 'p', 'i', 'C', 'o', 'm', 'm', 'i', 't', 't', 'e', 'r', '.']"
5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,E76,OutputCommitter set in config <*>,"['n', 'u', 'l', 'l']"
6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,"['O', 'u', 't', 'p', 'u', 't', 'C', 'o', 'm', 'm', 'i', 't', 't', 'e', 'r', ' ', 'i', 's', ' ', 'o', 'r', 'g', '.', 'a', 'p', 'a', 'c', 'h', 'e', '.', 'h', 'a', 'd', 'o', 'o', 'p', '.', 'm', 'a', 'p', 'r', 'e', 'd', 'u', 'c', 'e', '.', 'l', 'i', 'b', '.', 'o', 'u', 't', 'p', 'u', 't', '.', 'F', 'i', 'l', 'e', 'O', 'u', 't', 'p', 'u', 't', 'C', 'o', 'm', 'm', 'i', 't', 't', 'e', 'r']"
7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['jobhistory.EventType', 'jobhistory.JobHistoryEventHandler']"
8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.JobEventType', 'v2.app.MRAppMaster$JobEventDispatcher']"
9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.TaskEventType', 'v2.app.MRAppMaster$TaskEventDispatcher']"
10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,"['v2.app.job.event.TaskAttemptEventType', 'v2.app.MRAppMaster$TaskAttemptEventDispatcher']"
