EventId,EventTemplate,Occurrences
E29,Created MRAppMaster for application <*>,1
E42,Executing with tokens:,1
E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",1
E111,Using mapred newApiCommitter.,1
E76,OutputCommitter set in config <*>,1
E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,9
E31,Default file system [hdfs://<*>:<*>],3
E37,Emitting job history data to the timeline server is not enabled,1
E63,loaded properties from hadoop-metrics2.properties,1
E92,Scheduled snapshot period at <*> second(s).,1
E69,MRAppMaster metrics system started,1
E7,Adding job token for <*> to jobTokenSecretManager,1
E71,Not uberizing <*> because: not enabled; too many maps; too much input;,1
E48,Input size for job <*> = <*>. Number of splits = <*>,1
E73,Number of reduces for job <*> = <*>,1
E55,<*> Transitioned from NEW to INITED,1
E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",1
E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
E98,Starting Socket Reader #<*> for port <*>,2
E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
E49,Instantiated MRClientService at MININT-<*>/<*>:<*>,1
E51,IPC Server Responder: starting,2
E50,IPC Server listener on <*>: starting,2
E64,Logging to <*>(org.mortbay.log) via <*>,1
E47,Http request log for http.requests.mapreduce is not defined,1
E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,1
E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,1
E8,adding path spec: <*>,2
E52,Jetty bound to port <*>,1
E53,jetty-<*>,1
E43,Extract jar:file:<*> to <*>,1
