LineId,Time,Component,Pid,Content,EventId,EventTemplate,ParameterList
1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged <*>,"['3', '5', '7', '9']"
2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '0', '0', '0', '0', ' ', '1', '4', ' ', '0', ' ', '4']"
3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,E41,onReceive action: android.intent.action.SCREEN_ON,"['o', 'n', 'R', 'e', 'c', 'e', 'i', 'v', 'e', ' ', 'a', 'c', 't', 'i', 'o', 'n', ':', ' ', 'a', 'n', 'd', 'r', 'o', 'i', 'd', '.', 'i', 'n', 't', 'e', 'n', 't', '.', 'a', 'c', 't', 'i', 'o', 'n', '.', 'S', 'C', 'R', 'E', 'E', 'N', '_', 'O', 'N']"
4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E43,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,"['p', 'r', 'o', 'c', 'e', 's', 's', 'H', 'a', 'n', 'd', 'l', 'e', 'B', 'r', 'o', 'a', 'd', 'c', 'a', 's', 't', 'A', 'c', 't', 'i', 'o', 'n', ' ', 'a', 'c', 't', 'i', 'o', 'n', ':', 'a', 'n', 'd', 'r', 'o', 'i', 'd', '.', 'i', 'n', 't', 'e', 'n', 't', '.', 'a', 'c', 't', 'i', 'o', 'n', '.', 'S', 'C', 'R', 'E', 'E', 'N', '_', 'O', 'N']"
5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,E12,flush sensor data,"['f', 'l', 'u', 's', 'h', ' ', 's', 'e', 'n', 's', 'o', 'r', ' ', 'd', 'a', 't', 'a']"
6,20171223-22:15:29:635,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '6993', '548365', '8661', '12266', '27164404']"
7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '0', '7', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '2', '3', '6', '1', '#', '#', '2', '7', '1', '7', '3', '9', '5', '4']"
8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged <*>,"['3', '5', '7', '9']"
9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '7', '7', '5']"
10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '0', '7', ' ', '5', '0', '0', '2', ' ', '1', '5', '0', '0', '8', '9', ' ', '2', '4', '0']"
12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '0', '0', '0', '0', ' ', '0', ' ', '0', ' ', '4']"
13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged <*>,"['3', '5', '7', '9']"
14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,E42,onStandStepChanged <*>,"['3', '5', '8', '0']"
15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '0', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
16,20171223-22:15:29:950,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7007', '548365', '8661', '12361', '27173954']"
17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,E58,setTodayTotalDetailSteps=<*>,"['1', '5', '1', '4', '0', '3', '8', '4', '4', '0', '0', '0', '0', '#', '#', '7', '0', '0', '8', '#', '#', '5', '4', '8', '3', '6', '5', '#', '#', '8', '6', '6', '1', '#', '#', '1', '2', '4', '5', '6', '#', '#', '2', '7', '1', '7', '4', '2', '6', '9']"
18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,E4,calculateCaloriesWithCache totalCalories=<*>,"['1', '2', '6', '7', '9', '7']"
19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,"['2', '4', '0']"
20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,E47,REPORT : <*> <*> <*> <*>,"['7', '0', '0', '8', ' ', '5', '0', '0', '3', ' ', '1', '5', '0', '1', '1', '1', ' ', '2', '4', '0']"
21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,E42,onStandStepChanged <*>,"['3', '5', '8', '1']"
22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,E39,onExtend:<*> <*> <*> <*>,"['1', '5', '1', '4', '0', '3', '8', '5', '3', '1', '0', '0', '0', ' ', '1', ' ', '0', ' ', '4']"
23,20171223-22:15:30:632,Step_SPUtils,30002312,getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,"['1514038440000', '7008', '548365', '8661', '12456', '27174269']"
