LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,ParameterList
1,Jun,14,15:16:01,combo,sshd(pam_unix),19939,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,"['0', '0', '218.188.2.4']"
2,Jun,14,15:16:02,combo,sshd(pam_unix),19937,check pass; user unknown,E27,check pass; user unknown,"['c', 'h', 'e', 'c', 'k', ' ', 'p', 'a', 's', 's', ';', ' ', 'u', 's', 'e', 'r', ' ', 'u', 'n', 'k', 'n', 'o', 'w', 'n']"
3,Jun,14,15:16:02,combo,sshd(pam_unix),19937,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,"['0', '0', '218.188.2.4']"
4,Jun,15,02:04:59,combo,sshd(pam_unix),20882,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,"['0', '0', '220-135-151-1.hinet-ip.hinet.net', 'root']"
5,Jun,15,02:04:59,combo,sshd(pam_unix),20884,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,"['0', '0', '220-135-151-1.hinet-ip.hinet.net', 'root']"
6,Jun,15,02:04:59,combo,sshd(pam_unix),20883,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,"['0', '0', '220-135-151-1.hinet-ip.hinet.net', 'root']"
7,Jun,15,02:04:59,combo,sshd(pam_unix),20885,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,"['0', '0', '220-135-151-1.hinet-ip.hinet.net', 'root']"
8,Jun,15,02:04:59,combo,sshd(pam_unix),20886,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,"['0', '0', '220-135-151-1.hinet-ip.hinet.net', 'root']"
9,Jun,15,02:04:59,combo,sshd(pam_unix),20892,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,"['0', '0', '220-135-151-1.hinet-ip.hinet.net', 'root']"
10,Jun,15,02:04:59,combo,sshd(pam_unix),20893,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,"['0', '0', '220-135-151-1.hinet-ip.hinet.net', 'root']"
