EventId,EventTemplate,Occurrences
E16,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,117
E27,check pass; user unknown,117
E18,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,351
E102,session opened for user <*> by (uid=<*>),122
E101,session closed for user <*>,123
E8,ALERT exited abnormally with [<*>],43
E29,connection from <*> (<*>) at <*>:<*>:<*>,909
E17,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=guest,17
E112,User unknown timed out after <*> seconds at <*>:<*>:<*> <*>,1
E37,cupsd shutdown succeeded,6
E38,cupsd startup succeeded,6
E90,restart.,7
E88,Received SNMP packet(s) from <*>,1
E13,Authentication failed from <*> (<*>): Permission denied in replay cache code,8
E61,Kerberos authentication failed,23
E14,Authentication failed from <*> (<*>): Software caused connection abort,15
E1,*** info [mice.c(<*>)]:,1
E51,imps2: Auto-detected intellimouse PS/<*>,1
E103,session opened for user <*> by LOGIN(uid=<*>),1
E91,<*> LOGIN ON tty2,1
E89,removing device node '<*>',4
E36,creating device node '<*>',4
E19,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=test,4
E15,authentication failure; logname= uid=<*> euid=<*> tty=:<*> ruser= rhost=,1
E31,Couldn't authenticate user,1
E9,"ANONYMOUS FTP LOGIN FROM <*>, (anonymous)",2
E75,notify question section contains no SOA,16
E47,getpeername (ftpd): Transport endpoint is not connected,4
E116,warning: can't get client address: Connection reset by peer,2
E106,syslogd startup succeeded,1
E64,"klogd <*>, log source = <*> started.",1
E68,Linux version <*> (bhcompile@bugs.build.redhat.com) (gcc version <*> (Red Hat Linux <*>)) #<*> <*>:<*>:<*> EDT <*>,1
E22,BIOS-provided physical RAM map:,1
E21,BIOS-e820: <*> - <*> (usable),2
E20,BIOS-e820: <*> - <*> (reserved),3
E2,<*> HIGHMEM available.,1
E3,<*> LOWMEM available.,1
E118,zapping low mappings.,1
E65,klogd startup succeeded,1
E76,On node <*> totalpages: <*>,1
E41,"DMA zone: <*> pages, LIFO batch:<*>",1
E74,"Normal zone: <*> pages, LIFO batch:<*>",1
E58,irqbalance startup succeeded,1
E50,"HighMem zone: <*> pages, LIFO batch:<*>",1
E42,DMI <*> present.,1
E4,ACPI disabled because your bios is from <*> and too old,1
E117,You can enable it with acpi=force,1
E24,Built <*> zonelists,1
E62,Kernel command line: ro <*>=LABEL=/ rhgb quiet,1
E69,mapped 4G/4G trampoline to <*>.,1
E52,Initializing CPU#<*>,1
E32,"CPU <*> irqstacks, hard=<*> soft=<*>",1
E85,portmap startup succeeded,1
E84,PID hash table entries: <*> (order <*>: <*> bytes),1
E40,Detected <*> MHz processor.,1
