EventId,EventTemplate,Occurrences
E252,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
E323,Thermal pressure state: <*> Memory pressure state: <*>,39
E216,FA||Url||taskID[<*>] dealloc,17
E128,ARPT: <*>: <*>::syncPowerState: WWEN[enabled],12
E124,ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],16
E260,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>),2
E135,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",7
E149,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Original Seq: <*>, Ack: <*>, Win size: <*>",6
E131,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
E50,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
E58,<*>::setAwdlAutoMode Resuming AWDL,15
E140,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
E120,AppleCamIn::systemWakeCall - messageType = <*>,56
E311,"setting hostname to ""<*>""",7
E189,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",166
E175,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams <*>,7
E13,[<*>:<*>:<*>] <<<< CRABS >>>> crabsFlumeHostAvailable: [<*>] Byte flume reports host available again.,3
E109,AirPort: Link Down on awdl0. Reason <*> (Unspecified).,7
E288,"PM response took <*> ms (<*>, powerd)",9
E143,"ARPT: <*>: wl0: Roamed or switched channel, reason #<*>, bssid <*>:<*>:<*>:<*>, last RSSI <*>",4
E276,<*> successfully changed NAT64 ifstate from <*> to <*>,15
E61,"<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",11
E272,"network_reachability_changed : network is not reachable, netbiosd is shutting down",1
E173,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
E52,<*>(<*>) deny network-outbound <*>,29
E142,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,28
E112,AirPort: Link Up on en0,4
E300,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,29
E125,ARPT: <*>: <*>::platformWoWEnable: WWEN[enable],12
E111,AirPort: Link Up on awdl0,9
E122,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
E261,mDNS_DeregisterInterface: Frequent transitions for interface en0 (<*>),3
E55,<*>::<*> - retries = <*>,11
E150,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",10
E56,<*>::<*>::postMessage bssid changed,10
E54,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>,6
E263,mDNS_RegisterInterface: Frequent transitions for interface en0 (<*>),3
E121,AppleCamIn::wakeEventHandlerThread,20
E146,"ARPT: <*>: wl0: setup_keepalive: Local port: <*>, Remote port: <*>",8
E48,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*>,14
E208,en0: channel changed to <*>,20
E130,ARPT: <*>: AQM agg results <*> len hi/lo: <*> <*> BAbitmap(<*>-<*>) <*>,7
E171,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<NUM>_rsn:<NUM>",15
E59,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
E328,Unrecognized attribute value: t:AbchPersonItemType,8
E313,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
E183,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
E64,<*>:<*>:<*> : BTLE scanner Powered On,8
E161,button report: <*>,20
E62,<*>:<*>:<*> : BTLE discovered device with hash <*> <*> <*>,1
