LineId,Time,Program,Content,EventId,EventTemplate,ParameterList
1,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
2,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
3,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
4,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '00:01']"
5,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
6,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
7,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
8,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '403 bytes sent', '426 bytes received', '<1 sec']"
9,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
10,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
11,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 18846 bytes (18.4 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '451 bytes sent', '18846 bytes (18.4 KB) received', '<1 sec']"
12,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 445 bytes sent, 5174 bytes (5.05 KB) received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '445 bytes sent', '5174 bytes (5.05 KB) received', '<1 sec']"
13,10.30 16:49:08,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
14,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1190 bytes (1.16 KB) sent, 1671 bytes (1.63 KB) received, lifetime 00:02",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1190 bytes (1.16 KB) sent', '1671 bytes (1.63 KB) received', '00:02']"
15,10.30 16:49:08,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
16,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '<1 sec']"
17,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 3098 bytes (3.02 KB) received, lifetime 00:01",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1165 bytes (1.13 KB) sent', '3098 bytes (3.02 KB) received', '00:01']"
18,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
19,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 815 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1165 bytes (1.13 KB) sent', '815 bytes received', '<1 sec']"
20,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
21,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 783 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1165 bytes (1.13 KB) sent', '783 bytes received', '<1 sec']"
22,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 850 bytes sent, 10547 bytes (10.2 KB) received, lifetime 00:02",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '850 bytes sent', '10547 bytes (10.2 KB) received', '00:02']"
23,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 408 bytes sent, 421 bytes received, lifetime 00:03",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '408 bytes sent', '421 bytes received', '00:03']"
24,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1165 bytes (1.13 KB) sent', '0 bytes received', '<1 sec']"
25,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
26,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
27,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '0 bytes sent', '0 bytes received', '<1 sec']"
28,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 19904 bytes (19.4 KB) sent, 27629 bytes (26.9 KB) received, lifetime 02:19",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '19904 bytes (19.4 KB) sent', '27629 bytes (26.9 KB) received', '02:19']"
29,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
30,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1118 bytes (1.09 KB) sent, 340 bytes received, lifetime <1 sec",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1118 bytes (1.09 KB) sent', '340 bytes received', '<1 sec']"
31,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
32,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>:<*> open through proxy <*>:<*> HTTPS,"['proxy.cse.cuhk.edu.hk', '5070', 'proxy.cse.cuhk.edu.hk', '5070']"
33,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1143 bytes (1.11 KB) sent, 365 bytes received, lifetime 00:01",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1143 bytes (1.11 KB) sent', '365 bytes received', '00:01']"
34,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1093 bytes (1.06 KB) sent, 1006 bytes received, lifetime 00:01",E8,"<*> close, <*> <*>, <*> <*>, lifetime <*>","['proxy.cse.cuhk.edu.hk:5070', '1093 bytes (1.06 KB) sent', '1006 bytes received', '00:01']"
