LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]","['R', 'e', 'g', 'i', 's', 't', 'e', 'r', 'e', 'd', ' ', 's', 'i', 'g', 'n', 'a', 'l', ' ', 'h', 'a', 'n', 'd', 'l', 'e', 'r', 's', ' ', 'f', 'o', 'r', ' ', '[', 'T', 'E', 'R', 'M', ',', ' ', 'H', 'U', 'P', ',', ' ', 'I', 'N', 'T', ']']"
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,"['y', 'a', 'r', 'n', ',', 'c', 'u', 'r', 'i']"
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,"['y', 'a', 'r', 'n', ',', 'c', 'u', 'r', 'i']"
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","['S', 'e', 'c', 'u', 'r', 'i', 't', 'y', 'M', 'a', 'n', 'a', 'g', 'e', 'r', ':', ' ', 'a', 'u', 't', 'h', 'e', 'n', 't', 'i', 'c', 'a', 't', 'i', 'o', 'n', ' ', 'd', 'i', 's', 'a', 'b', 'l', 'e', 'd', ';', ' ', 'u', 'i', ' ', 'a', 'c', 'l', 's', ' ', 'd', 'i', 's', 'a', 'b', 'l', 'e', 'd', ';', ' ', 'u', 's', 'e', 'r', 's', ' ', 'w', 'i', 't', 'h', ' ', 'v', 'i', 'e', 'w', ' ', 'p', 'e', 'r', 'm', 'i', 's', 's', 'i', 'o', 'n', 's', ':', ' ', 'S', 'e', 't', '(', 'y', 'a', 'r', 'n', ',', ' ', 'c', 'u', 'r', 'i', ')', ';', ' ', 'u', 's', 'e', 'r', 's', ' ', 'w', 'i', 't', 'h', ' ', 'm', 'o', 'd', 'i', 'f', 'y', ' ', 'p', 'e', 'r', 'm', 'i', 's', 's', 'i', 'o', 'n', 's', ':', ' ', 'S', 'e', 't', '(', 'y', 'a', 'r', 'n', ',', ' ', 'c', 'u', 'r', 'i', ')']"
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,"['y', 'a', 'r', 'n', ',', 'c', 'u', 'r', 'i']"
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,"['y', 'a', 'r', 'n', ',', 'c', 'u', 'r', 'i']"
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","['S', 'e', 'c', 'u', 'r', 'i', 't', 'y', 'M', 'a', 'n', 'a', 'g', 'e', 'r', ':', ' ', 'a', 'u', 't', 'h', 'e', 'n', 't', 'i', 'c', 'a', 't', 'i', 'o', 'n', ' ', 'd', 'i', 's', 'a', 'b', 'l', 'e', 'd', ';', ' ', 'u', 'i', ' ', 'a', 'c', 'l', 's', ' ', 'd', 'i', 's', 'a', 'b', 'l', 'e', 'd', ';', ' ', 'u', 's', 'e', 'r', 's', ' ', 'w', 'i', 't', 'h', ' ', 'v', 'i', 'e', 'w', ' ', 'p', 'e', 'r', 'm', 'i', 's', 's', 'i', 'o', 'n', 's', ':', ' ', 'S', 'e', 't', '(', 'y', 'a', 'r', 'n', ',', ' ', 'c', 'u', 'r', 'i', ')', ';', ' ', 'u', 's', 'e', 'r', 's', ' ', 'w', 'i', 't', 'h', ' ', 'm', 'o', 'd', 'i', 'f', 'y', ' ', 'p', 'e', 'r', 'm', 'i', 's', 's', 'i', 'o', 'n', 's', ':', ' ', 'S', 'e', 't', '(', 'y', 'a', 'r', 'n', ',', ' ', 'c', 'u', 'r', 'i', ')']"
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E28,Slf4jLogger started,"['S', 'l', 'f', '4', 'j', 'L', 'o', 'g', 'g', 'e', 'r', ' ', 's', 't', 'a', 'r', 't', 'e', 'd']"
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,E31,Starting remoting,"['S', 't', 'a', 'r', 't', 'i', 'n', 'g', ' ', 'r', 'e', 'm', 'o', 't', 'i', 'n', 'g']"
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[akka.tcp://<*>],"['s', 'p', 'a', 'r', 'k', 'E', 'x', 'e', 'c', 'u', 't', 'o', 'r', 'A', 'c', 't', 'o', 'r', 'S', 'y', 's', 't', 'e', 'm', '@', 'm', 'e', 's', 'o', 's', '-', 's', 'l', 'a', 'v', 'e', '-', '0', '7', ':', '5', '5', '9', '0', '4']"
