EventId,EventTemplate,Occurrences
E22,"Registered signal handlers for [TERM, HUP, INT]",1
E5,Changing view acls to: <*>,2
E4,Changing modify acls to: <*>,2
E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
E28,Slf4jLogger started,1
E31,Starting remoting,1
E23,Remoting started; listening on addresses :[akka.tcp://<*>],1
E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.,1
E7,Created local directory at <*>,1
E18,MemoryStore started with capacity <*> GB,1
E6,Connecting to driver: spark://<*>,1
E32,Successfully registered with driver,1
E30,Starting executor ID <*> on host <*>,1
E33,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,1
E27,Server created on <*>,1
E36,Trying to register BlockManager,1
E21,Registered BlockManager,1
E11,Got assigned task <*>,305
E24,Running task <*> in stage <*> (TID <*>),305
E29,Started reading broadcast variable <*>,37
E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",112
E20,Reading broadcast variable <*> took <*> ms,37
E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)",37
E19,"Partition <*> not found, computing it",75
E12,Input split: hdfs://<*>,45
E17,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
E14,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
E15,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
E13,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
E16,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
E35,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
E9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,300
E10,Found block <*> locally,257
E8,File Output Committer Algorithm version is <*>,30
E25,Saved output of task '<*>' to hdfs://<*>,30
E1,<*>: Committed,30
