EventId,EventTemplate,Occurrences
E117,session closed for user <*>,24
E118,session opened for user <*> by (uid=<*>),19
E3,(<*>) CMD (run-parts <*>),14
E32,data_thread() got not answer from any [<*>] datasource,819
E125,"synchronized to <*>, stratum <*>",568
E8,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
E6,[ib_sm_sweep.c:<*>]: No topology change,62
E7,[ib_sm_sweep.c:<*>]: No configuration change required,62
E67,Local disconnected: Connection closed.,3
E30,connection lost: 'Connection closed.',3
E131,unable to qualify my own domain name (<*>) -- using short name,10
E15,"<*>: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=#<*>#@localhost",10
E16,"<*>: to=<*>, ctladdr=<*> (0/0), delay=<*>:<*>:<*>, xdelay=<*>:<*>:<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=Deferred: Connection refused by [<*>]",10
E36,DHCPDISCOVER from <*> via eth1,5
E38,DHCPOFFER on <*> to <*> via eth1,5
E37,DHCPDISCOVER from <*> via eth1: network A_net: no free leases,15
E35,DHCPACK on <*> to <*> via eth1,3
E39,DHCPREQUEST for <*> (<*>) from <*> via eth1,3
E119,START: tftp pid=<*> from=<*>,1
E40,DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,9
E111,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
E61,kernel time sync disabled <*>,1
E128,time reset +<*> s,1
E98,Received SNMP packet(s) from #<*>#,1
E62,kernel time sync enabled <*>,1
E2,(<*>) CMD (<*> <*>),5
E75,My unqualified host name (<*>) unknown; sleeping for retry,5
E25,CentOS-<*> (Kernel Module GPG key),1
E4,(supports <*>),1
E10,<*> (v001 DELL PE BKC <*> MSFT <*>) @ <*>,7
E50,HPET id: <*> base: <*>,1
E55,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1
E56,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),1
E59,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
E60,<*> used by override.,3
E58,Interpreter enabled,1
E64,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
E65,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),4
E66,Local APIC address <*>,1
E82,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>,2
E83,PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>),1
E84,"PCI Interrupt Link [<*>] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) <*>, disabled.",5
E85,PCI Interrupt Routing Table [<*>],10
E86,PCI <*> Bridge [PCI0] (<*>:<*>),1
E81,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",11
E90,Power Button (FF) [PWRF],1
E94,Processor [<*>] (supports C1),4
E112,RSDP (<*> DELL ) @ <*>,1
E123,Subsystem revision <*>,1
E139,Using IOAPIC for interrupt routing,1
E57,Intel(R) Xeon(TM) CPU <*> stepping <*>,1
E63,L2 cache: <*>,5
E88,Physical Processor ID: <*>,5
E129,"Trace cache: <*> uops, L1 D cache: <*>",5
E27,colour VGA+ <*>,1
E71,mounted filesystem with ordered data mode.,3
E11,<*> <*> <*>/<*>/<*> <*>:<*>:<*> ak Exp $,1
