dataset+metrics,AEL,Drain,IPLoM,LenMa,LFA,LogCluster,LogMine,Logram,LogSig,MoLFI,SHISO,SLCT,Spell,UniParser,LogPPT
Average GA,0.810 / 0.860,0.850 / 0.840,0.770 / 0.790,0.770 / 0.800,0.650 / 0.600,0.640 / 0.570,0.730 / 0.750,0.530 / 0.340,0.500 / 0.180,0.590 / 0.520,0.680 / 0.540,0.610 / 0.400,0.770 / 0.730,0.850 / 0.660,0.760 / 0.560
Average FGA,0.680 / 0.560,0.740 / 0.550,0.770 / 0.610,0.580 / 0.460,0.650 / 0.520,0.300 / 0.040,0.450 / 0.370,0.410 / 0.200,0.340 / 0.160,0.580 / 0.340,0.650 / 0.480,0.360 / 0.270,0.600 / 0.350,0.740 / 0.500,0.860 / 0.590
Average PA,0.280 / 0.440,0.320 / 0.470,0.200 / 0.190,0.130 / 0.240,0.220 / 0.250,0.120 / 0.110,0.210 / 0.240,0.170 / 0.200,0.110 / 0.090,0.070 / 0.110,0.090 / 0.140,0.260 / 0.240,0.220 / 0.240,0.620 / 0.680,0.710 / 0.760
Average FTA,0.230 / 0.250,0.280 / 0.280,0.160 / 0.120,0.130 / 0.160,0.130 / 0.100,0.090 / 0.010,0.130 / 0.120,0.120 / 0.050,0.040 / 0.010,0.080 / 0.030,0.130 / 0.150,0.130 / 0.110,0.170 / 0.090,0.280 / 0.260,0.640 / 0.490
Hadoop GA,0.869 / 0.823,0.948 / 0.921,0.954 / 0.916,0.885 / 0.796,0.900 / 0.827,0.563 / 0.481,0.870 / 0.827,0.451 / 0.188,0.632 / 0.000,0.719 / 0.647,0.867 / 0.720,0.422 / 0.234,0.777 / 0.449,0.948 / 0.718,0.801 / 0.533
Hadoop FGA,0.702 / 0.117,0.820 / 0.785,0.863 / 0.797,0.672 / 0.059,0.627 / 0.650,0.383 / 0.005,0.705 / 0.124,0.303 / 0.020,0.088 / 0.000,0.638 / 0.041,0.782 / 0.554,0.094 / 0.225,0.605 / 0.051,0.820 / 0.490,0.890 / 0.570
Hadoop PA,0.262 / 0.535,0.269 / 0.541,0.104 / 0.162,0.083 / 0.052,0.239 / 0.432,0.085 / 0.052,0.255 / 0.529,0.113 / 0.088,0.073 / 0.030,0.080 / 0.046,0.083 / 0.015,0.218 / 0.066,0.113 / 0.116,0.590 / 0.835,0.542 / 0.725
Hadoop FTA,0.229 / 0.058,0.276 / 0.384,0.199 / 0.241,0.128 / 0.009,0.120 / 0.118,0.102 / 0.002,0.224 / 0.063,0.101 / 0.009,0.015 / 0.000,0.086 / 0.007,0.151 / 0.086,0.031 / 0.065,0.164 / 0.017,0.276 / 0.319,0.563 / 0.462
HDFS GA,0.998 / 0.999,0.998 / 0.999,1.000 / 0.961,0.998 / 0.999,0.885 / 0.748,0.546 / 0.558,0.851 / ------,0.930 / ------,0.508 / 0.373,0.998 / 0.999,0.998 / 0.999,0.545 / 0.414,1.000 / 0.961,0.998 / 1.000,0.845 / 0.694
HDFS FGA,0.867 / 0.764,0.839 / 0.935,1.000 / 0.721,0.867 / 0.831,0.759 / 0.818,0.033 / 0.000,0.759 / ------,0.595 / ------,0.444 / 0.197,0.867 / 0.903,0.867 / 0.719,0.320 / 0.170,1.000 / 0.625,0.839 / 0.936,0.897 / 0.385
HDFS PA,0.354 / 0.621,0.500 / 0.621,0.000 / 0.000,0.010 / 0.137,0.155 / 0.153,0.000 / 0.000,0.000 / ------,0.004 / ------,0.000 / 0.000,0.000 / 0.000,0.010 / 0.137,0.287 / 0.146,0.297 / 0.290,0.997 / 0.948,0.389 / 0.897
